Fecha,open,high,low,close,volume,marketCap
16/11/2021,"1,551,579,087","1,551,579,087","1,408,334,518","1,449,104,408","33924455,47","$229.280.632,36"
17/11/2021,"1,448,543,593","1,525,934,967","1,410,707,395","1,475,615,334","30346251,2","$233.475.252,05"
18/11/2021,"1,475,650,188","14,768,617","1,352,221,377","1,365,518,849","27634279,15","$216.055.532,92"
19/11/2021,"1,365,470,222","1,443,296,531","1,352,740,711","1,427,688,439","24432743,11","$332.566.601,60"
20/11/2021,"1,427,639,483","1,451,877,537","1,385,098,635","1,429,170,961","19287813,56","$334.195.765,44"
21/11/2021,"1,428,102,868","146,054,488","1,390,923,516","1,443,983,418","18169249,72","$338.936.841,83"
22/11/2021,"1,443,374,703","1,444,544,936","1,393,530,374","1,422,424,022","23186731,71","$335.255.100,45"
23/11/2021,"1,422,331,156","143,347,925","1,395,972,248","1,408,868,746","20154677,92","$333.381.034,08"
24/11/2021,"1,408,809,214","1,418,914,659","1,331,181,448","1,401,224,567","20041334,31","$331.784.054,86"
25/11/2021,"1,360,154,287","1,436,307,398","1,345,262,764","1,355,936,766","22063853,65","$322.491.390,21"
26/11/2021,"1,381,412,653","1,390,568,093","129,873,251","1,311,156,422","22482711,18","$313.886.520,72"
27/11/2021,"1,314,283,627","1,372,535,804","1,314,283,627","1,337,942,417","15966578,81","$321.566.432,19"
28/11/2021,"1,338,025,829","1,408,896,215","1,291,613,552","1,388,149,178","23778256,38","$334.894.737,11"
29/11/2021,"1,387,800,343","1,406,483,052","1,345,121,078","1,388,054,241","20781840,54","$336.065.560,04"
30/11/2021,"1,389,435,538","1,398,767,649","1,333,960,714","1,367,300,891","20782007,74","$332.033.297,44"
01/12/2021,"1,367,058,119","1,367,058,119","130,427,491","1,325,665,682",18342968,"$323.436.178,32"
02/12/2021,"1,325,911,753","1,328,863,634","1,195,056,091","1,259,596,451","27828986,19","$308.482.476,53"
03/12/2021,"1,260,501,811","1,275,624,685","1,190,033,484","1,210,838,209","17037731,71","$297.731.190,96"
04/12/2021,"1,212,690,236","1,233,823,564","9,223,297,136","1,075,915,274","38274887,38","$265.520.073,74"
05/12/2021,"1,074,392,844","1,074,392,844","9,792,772,075","1,042,928,328","18235968,48","$258.314.886,97"
06/12/2021,"1,044,520,271","1,087,063,232","9,488,139,421","1,078,054,101","26200046,96","$265.713.061,12"
07/12/2021,"1,078,226,744","1,100,888,082","1,026,116,165","1,041,300,794","19500550,3","$258.788.967,57"
08/12/2021,"1,041,850,375","1,094,873,408","1,000,675,964","1,066,723,584","19856971,82","$265.107.158,70"
09/12/2021,"10,656,878","1,095,909,344","1,028,973,709","1,064,233,528","18471211,1","$267.326.309,94"
10/12/2021,"106,439,711","106,624,174","9,953,777,633","1,048,431,547","19605024,27","$264.226.661,98"
11/12/2021,"104,860,884","1,049,905,025","1,004,734,418","1,021,406,875","14521528,17","$258.318.497,11"
12/12/2021,"1,021,063,595","1,027,331,954","9,608,960,361","1,010,099,757","15087298,03","$256.330.187,15"
13/12/2021,"1,010,398,248","1,017,022,173","9,053,845,057","9,296,051,939","19415874,57","$236.942.698,73"
14/12/2021,"9,299,567,656","9,299,567,656","8,896,177,507","9,106,957,012","15633554,11","$232.178.317,31"
15/12/2021,"912,267,003","9,652,195,514","8,752,586,797","9,301,865,103","16827770,51","$238.742.692,94"
16/12/2021,"9,304,855,355","9,645,574,263","913,164,351","9,132,997,807","14404666,73","$234.473.735,95"
17/12/2021,"9,135,387,552","1,033,689,979","9,024,438,997","1,022,469,158","15040446,31","$262.501.063,06"
18/12/2021,"1,022,771,776","1,022,771,776","9,361,926,554","9,634,058,808","14535852,76","$247.337.600,30"
19/12/2021,"9,633,480,001","9,715,293,321","9,428,140,483","9,558,536,579","10247145,92","$245.398.699,23"
20/12/2021,"9,559,567,048","9,973,643,019","9,026,590,415","965,801,479","15773177,96","$252.281.350,44"
21/12/2021,"9,661,562,593","9,955,798,415","9,608,692,932","9,932,043,594","14153346,52","$260.008.188,27"
22/12/2021,"9,936,426,608","1,076,609,274","9,795,326,102","1,060,893,435","15080759,51","$278.940.923,07"
23/12/2021,"1,061,235,846","1,070,651,008","9,941,397,779","1,030,940,127","16116765,54","$272.227.060,24"
24/12/2021,"1,030,956,371","1,059,905,376","9,836,535,662","1,007,136,979","16439827,75","$266.067.763,45"
25/12/2021,"1,007,990,317","1,020,864,973","9,883,266,515","1,010,758,213","12109895,65","$268.760.608,85"
26/12/2021,"1,010,638,458","1,038,614,335","9,874,854,452","1,024,475,728","10562230,96","$273.363.522,27"
27/12/2021,"1,024,842,456","1,041,764,136","1,001,401,916","102,356,131","12539576,03","$274.090.168,70"
28/12/2021,"1,024,233,943","1,024,233,943","9,743,556,799","1,000,328,993","15358833,63","$268.055.859,54"
29/12/2021,"1,000,205,367","1,011,361,201","9,824,143,104","997,813,194","12245188,68","$267.400.066,39"
30/12/2021,"9,975,540,659","998,468,724","9,769,944,282","9,840,290,909","10505473,04","$265.949.704,68"
31/12/2021,"9,842,260,201","101,261,252","9,770,638,436","9,855,048,543","16931196,99","$267.521.797,04"
01/01/2022,"9,854,291,163","1,041,716,059","9,811,801,244","1,039,392,398","10986127,13","$283.029.980,11"
02/01/2022,"1,039,079,434","1,039,079,434","1,000,116,726","1,005,669,259","10941716,23","$274.757.389,73"
03/01/2022,"1,005,787,597","1,028,401,528","9,858,131,709","9,991,441,677","12654491,38","$274.007.095,02"
04/01/2022,"9,991,311,518","1,017,642,598","9,740,471,259","9,817,297,833","12662575,52","$270.134.141,60"
05/01/2022,"9,817,146,274","10,066,363","9,024,980,543","9,444,717,464","14302233,1","$259.990.593,36"
06/01/2022,"943,674,749","9,572,857,067","9,038,784,469","9,306,986,406","13771071,49","$257.260.181,59"
07/01/2022,"9,306,807,427","9,310,966,843","8,943,353,451","9,186,421,607","13460233,75","$255.309.121,16"
08/01/2022,"9,186,837,826","9,290,160,795","8,937,295,724","9,127,724,895","10228512,72","$254.538.839,85"
09/01/2022,"9,126,933,762","9,144,563,692","8,958,271,528","8,975,564,547","9451375,23","$251.123.101,95"
10/01/2022,"8,976,517,262","9,009,181,979","8,261,003,729","8,488,021,884","14146486,58","$238.273.543,44"
11/01/2022,"8,482,049,047","8,915,957,998","8,479,261,365","8,839,605,512","13291883,31","$248.942.207,99"
12/01/2022,"8,840,825,811","9,884,878,355","8,804,709,883","9,528,991,176","16542105,78","$269.184.948,19"
13/01/2022,"9,531,642,965","971,441,798","9,207,587,996","928,823,012","12882450,82","$263.237.636,95"
14/01/2022,"9,286,781,804","9,325,692,367","9,000,678,297","9,162,055,152","10654693,29","$260.537.605,92"
15/01/2022,"9,162,995,785","9,460,050,463","8,994,481,435","9,234,177,479","10384954,5","$263.432.245,75"
16/01/2022,"923,372,729","934,063,361","9,022,391,678","9,152,486,181","10483075,82","$261.956.601,89"
17/01/2022,"9,151,000,609","9,184,868,554","8,747,163,388","9,025,512,547","11247815,87","$259.183.116,69"
18/01/2022,"9,024,580,759","9,026,869,965","8,447,091,549","8,702,393,754","13185458,35","$250.715.615,96"
19/01/2022,"8,700,233,132","8,759,475,223","8,320,809,095","8,384,482,414","12388066,68","$242.309.026,42"
20/01/2022,"8,385,735,801","8,747,522,978","8,302,687,765","8,302,687,765","11599035,84","$240.713.101,21"
21/01/2022,"8,306,298,629","8,368,408,782","713,374,958","7,352,851,323","16629883,21","$213.847.460,27"
22/01/2022,"7,360,425,982","7,588,867,056","6,848,154,236","729,322,914","22142185,22","$212.803.881,95"
23/01/2022,"7,297,803,821","7,995,735,584","7,188,961,337","7,937,206,017","16937168,13","$232.317.099,06"
24/01/2022,"7,937,844,613","8,322,292,842","722,040,448","7,887,361,462","26444147,68","$231.582.397,37"
25/01/2022,"7,888,505,894","7,944,968,046","7,343,507,265","7,874,879,395","16127761,27","$231.951.737,64"
26/01/2022,"78,738,934","7,996,766,209","7,527,901,364","7,625,152,044","14930197,61","$225.304.485,03"
27/01/2022,"7,620,748,124","798,274,973","7,500,005,724","7,961,786,919","13783578,5","$235.975.819,68"
28/01/2022,"7,959,978,203","8,016,170,783","7,654,466,389","7,996,229,723","12651745,44","$237.743.662,25"
29/01/2022,"799,573,447","8,525,750,686","787,791,949","8,270,945,229","13427671,58","$246.653.481,92"
